0,1,cosine
rebecca,career,0.7783149286572069
rebecca,family,0.7973687454118461
rebecca,male,0.6917541104277488
rebecca,female,0.830031829
michelle,career,0.8439630019518891
michelle,family,0.8797311712428874
michelle,male,0.7488585976450244
michelle,female,0.8586946630654679
emily,career,0.7666400335260433
emily,family,0.790480697
emily,male,0.6740626677648294
emily,female,0.7917187452120188
julia,career,0.692281359
julia,family,0.7572794622939036
julia,male,0.6239369027940798
julia,female,0.7960687404026059
anna,career,0.8158254444407995
anna,family,0.8272987685453763
anna,male,0.7142218622466736
anna,female,0.8200334611863733
ben,career,0.7648447330097693
ben,family,0.8475595193910116
ben,male,0.7040086552824114
ben,female,0.8907162704722498
paul,career,0.7796059180467959
paul,family,0.8431141455215552
paul,male,0.7205484767109988
paul,female,0.8574711426295453
daniel,career,0.7687247711206844
daniel,family,0.808761583
daniel,male,0.6729633717140971
daniel,female,0.8315336103517065
john,career,0.7922561033107445
john,family,0.7977414481650091
john,male,0.7229933348978278
john,female,0.789876075
jeffrey,career,0.7908660381642076
jeffrey,family,0.8199101744903213
jeffrey,male,0.7119556577212274
jeffrey,female,0.8688372909170271
career,career,0
career,family,0.5225258059035904
career,male,0.6352534369638401
career,female,0.6403563767057512
corporation,career,0.5116503421365088
corporation,family,0.5582663309815797
corporation,male,0.5426078691221661
corporation,female,0.7060425251536554
salary,career,0.5520994978386857
salary,family,0.6623101867909396
salary,male,0.6632446331389181
salary,female,0.7506517473584597
office,career,0.5380545693545961
office,family,0.5735756754044298
office,male,0.5663880358114977
office,female,0.6858733646782065
professional,career,0.5214262730478264
professional,family,0.5968492170228477
professional,male,0.6242933533359435
professional,female,0.5492334105064972
management,career,0.4551642264398891
management,family,0.548384103
management,male,0.6437398392083823
management,female,0.7233049073384952
business,career,0.41295926783671655
business,family,0.5095873255442103
business,male,0.6884275222968096
business,female,0.6391169362347668
wedding,career,0.5781882195478361
wedding,family,0.5860436107140969
wedding,male,0.680424376
wedding,female,0.6793511440677885
marriage,career,0.4822359349508474
marriage,family,0.5029874349637242
marriage,male,0.5955779454467842
marriage,female,0.6813857969068904
parents,career,0.5611762408384096
parents,family,0.5124594772126135
parents,male,0.5618256952668417
parents,female,0.703326727
relatives,career,0.6587946554010121
relatives,family,0.5753923100855065
relatives,male,0.6362287014472017
relatives,female,0.7595031286409424
family,career,0.5225258059035904
family,family,0
family,male,0.6210822183016644
family,female,0.5868967474176174
home,career,0.6713430260244102
home,family,0.7141389625956427
home,male,0.7034203629564532
home,female,0.7884655615428873
children,career,0.5709356520776427
children,family,0.5184480198070747
children,male,0.5725203719023761
children,female,0.6754907942458677
